title,rating,aired_duration,average_runtime,genre,MPAA_rating,votes
The Irresponsible Captain Tylor,7.7,1993–1996,None,"Animation, Adventure, Comedy",TV-14,493
Fighting Spirit,8.8,2000–2002,None,"Animation, Action, Comedy",TV-PG,"9,371"
Inuyasha,7.9,2000–2004,None,"Animation, Action, Adventure",TV-14,"17,753"
The Twelve Kingdoms,7.9,2002–2003,None,"Animation, Adventure, Drama",None,"2,181"
Chobits,7.3,2002–2003,None,"Animation, Comedy, Drama",TV-14,"4,670"
Ef: A Tale of Memories.,7.4,2007,None,"Animation, Comedy, Drama",TV-MA,826
Blood+,7.6,2005–2006,None,"Animation, Action, Adventure",TV-MA,"4,819"
XXXHOLiC,7.6,2006–2011,None,"Animation, Comedy, Drama",TV-PG,"2,035"
Texhnolyze,7.6,2003,None,"Animation, Drama, Sci-Fi",TV-MA,"3,070"
Wolf's Rain,7.9,2003–2004,23,"Animation, Action, Adventure",TV-14,"8,199"
Cowboy Bebop,8.9,1998–1999,25,"Animation, Action, Adventure",TV-14,"136,488"
Baccano!,8.2,2007–2008,24,"Animation, Action, Adventure",TV-MA,"12,572"
Bakemonogatari,8,2009–2010,25,"Animation, Action, Comedy",TV-14,"6,474"
Serial Experiments Lain,8.1,1998,23,"Animation, Drama, Horror",TV-14,"16,814"
The Tatami Galaxy,8.4,2010,22,"Animation, Comedy, Drama",TV-14,"4,874"
Golden Boy,8,1995–1996,28,"Animation, Comedy",Not Rated,"7,004"
FLCL,8.1,2000–2001,25,"Animation, Action, Comedy",TV-14,"19,502"
Rurouni Kenshin: Trust and Betrayal,8.6,1999,29,"Animation, Action, Adventure",TV-MA,"16,048"
Hellsing Ultimate,8.2,2006–2012,50,"Animation, Action, Fantasy",Not Rated,"26,338"
Katanagatari,7.8,2010,50,"Animation, Action, Adventure",TV-PG,"1,572"
Tomorrow's Joe,8.3,1970–1971,30,"Animation, Action, Drama",None,836
The Vision of Escaflowne,7.8,1996,30,"Animation, Action, Adventure",TV-14,"4,463"
Mobile Suit Gundam,7.9,1979–1980,30,"Animation, Action, Adventure",TV-14,"2,730"
Princess Tutu,8.1,2002–2003,30,"Animation, Adventure, Comedy",TV-14,"1,143"
"Rainbow: The Seven from Compound Two, Cell Six",8.2,2010,30,"Animation, Crime, Drama",TV-MA,"2,917"
Clannad,7.8,2007–2008,30,"Animation, Comedy, Drama",TV-PG,"10,251"
The Mysterious Cities of Gold,8.7,1982–1983,28,"Animation, Adventure, Comedy",TV-Y7,"4,241"
Crest of the Stars,7.5,1999,26,"Animation, Action, Drama",TV-14,530
Mushi-Shi,8.5,2005–2014,25,"Animation, Drama, Fantasy",TV-14,"14,450"
Legend of the Galactic Heroes,9,1988–1997,25,"Animation, Action, Drama",TV-MA,"4,596"
"Now and Then, Here and There",7.9,1999–2000,25,"Animation, Action, Adventure",TV-14,"1,914"
Maison Ikkoku,8.2,1986–1988,25,"Animation, Comedy, Drama",TV-14,"1,213"
Black Lagoon,7.9,2006,25,"Animation, Action, Adventure",TV-MA,"17,633"
Moribito: Guardian of the Spirit,8.2,2007,25,"Animation, Action, Adventure",TV-PG,"2,919"
Gungrave,7.9,2003–2004,25,"Animation, Action, Crime",TV-14,"5,307"
Charcoal Feather Federation,8,2002,25,"Animation, Drama, Fantasy",TV-PG,"4,080"
Eureka Seven,7.8,2005–2006,25,"Animation, Action, Adventure",TV-MA,"3,282"
Super Dimension Fortress Macross,8.5,1982–2002,25,"Animation, Action, Adventure",TV-PG,"2,288"
Phantom: Requiem for the Phantom,7.5,2009,25,"Animation, Action, Crime",TV-MA,"1,908"
School Rumble,7.8,2004–2010,25,"Animation, Comedy, Romance",TV-PG,"2,153"
The Slayers,7.5,1995–2009,25,"Animation, Action, Adventure",TV-PG,"2,370"
Planetes,8.1,2003–2004,25,"Animation, Drama, Sci-Fi",TV-14,"3,896"
Mononoke,8.2,2007,25,"Animation, Fantasy, Horror",TV-MA,"2,915"
Fist of the North Star,8.2,1984–1988,25,"Animation, Action, Adventure",TV-14,"3,527"
Nodame kantâbire,8.1,2007–2010,25,"Animation, Comedy, Drama",None,"1,374"
Kimagure Orange Road,7.6,1985–1988,25,"Animation, Comedy, Drama",TV-PG,917
The Future Diary,7.5,2011–2013,25,"Animation, Action, Drama",TV-MA,"19,752"
Koi Kaze,7.4,2004,25,"Animation, Drama, Romance",None,460
Steins;Gate,8.8,2011–2015,24,"Animation, Comedy, Drama",TV-14,"72,162"
The Rose of Versailles,8.3,1979–1980,24,"Animation, Action, Drama",TV-PG,"2,279"
Hunter x Hunter,9,2011–2014,24,"Animation, Action, Adventure",TV-14,"130,327"
Bunny Drop,8.3,2011–2012,24,"Animation, Comedy, Drama",TV-PG,"3,796"
Rurouni Kenshin,8.5,1996–1998,24,"Animation, Action, Adventure",TV-14,"20,441"
Monster,8.7,2004–2005,24,"Animation, Crime, Drama",TV-14,"42,899"
Vinland Saga,8.8,2019–2023,24,"Animation, Action, Adventure",TV-MA,"67,823"
Death Note,8.9,2006–2007,24,"Animation, Crime, Drama",TV-14,"371,904"
Ghost in the Shell: Stand Alone Complex,8.5,2002–2005,24,"Animation, Action, Crime",TV-MA,"20,804"
Great Teacher Onizuka,8.5,1999–2000,24,"Animation, Comedy, Drama",TV-MA,"10,932"
